pilot,records,peaks
Chris Gab,1,Mont de l'Arpille
Chris Vuille✌️,1,Moncucco
Christian Baumann,1,Gsür
Christian Bengel,1,Seewlehore
Christian Grohs,1,Augstmatthorn
Christian Grütter,1,Rothorn
Christian Knapp,1,Wildhorn
Christian Kündig,1,Haber
Christian Schöll,1,Lüneregg
Christoph Byland,1,Piz Arina
Christoph Dunkel,1,Rugghubel
Christoph Kendel,1,Stätzer Horn
Christoph Müller,1,Elsighorn
Christoph Richert,1,Gamserrugg
Christoph Seiler,1,Wilerhorn
Christoph Siegenthaler,1,Saalbügel
Christophe Tournery,1,Mys Derrey
Christopher Fromm,1,Eggerhorn
Claudio Ruff,1,Seetalhorn
Curdin Roner,1,Klewenstock
Cyrill Coray,1,Holzerhore
Cédric Gerber,1,Pra de Cray
Damian Scherrer,1,Klein Mythen
Dani Müller,1,Bietenhorn
Daniel Fluri,1,Stollen
Daniel Good,1,Rossstall
Daniel Hofstetter,1,Stöcklichrüz
Daniel Menet,1,Dri Alichji
Daniel Moser,1,Rossboden
Daniel Perez,1,Narggenchopf
Daniel Rissi,1,Schwandfeldspitze
Daniel Ritschard,1,Uf Vorsess
Daniel Theytaz,1,Pointe de Vouasson
Daniel Weibel,1,Sulegg
Danilo Baccala,1,Motto della Costa
David Künzi,1,Drümännler
David Senn,1,Bläss Chopf
Davide Monzeglio,1,Monte Gambarogno
Davide Rivola,1,Punta di Stou
Delavy Yannick,1,Tinderray
Dieter Hufschmid,1,Schneelochberg
Dominic Jurtolzky,1,Diepen
Dominic Keller,1,Leiterenstollen
Dominik Möller,1,Trütlisberg
Dominik Wellenzohn,1,Piz Beverin
Dölf Müller,1,Piz Martegnas
Edi Rösti,1,Oberlaubhore
Edith Marfurt,1,Rainissalts
Edoardo Colombo,1,Naso del Liskamm
Eduard Matus,1,Poganggenhorn
Edwin Glaus,1,Vorderer Eggstock
Elias Riedweg,1,Bettlachstock
Elma Okic,1,Mont Chupiaô
Elodie Rohrer,1,Rohrbachstein
Emilien Castella,1,Vanil de l'Ecri
Emmanuel Heer,1,Grätli
Engelbert Bürgi,1,Dilitschchopf
Erich Ruetsche,1,Zindlenspitz
Etienne Feihl,1,Le Merdasson
Etienne 🇺🇦 de la Mousse 🪂,1,Meiehöri
Fabian Christener,1,Hengst
Fabian Widmer,1,Hüttchopf
Fabien Tornay,1,Pierre Avoi
Felix Gallusser,1,Ober Kamor
Florian Reinhard,1,Schatthorn
Francesco Scaglia,1,Motta Rossa
Frank Balsiger,1,Stockhorn
François Udressy,1,Roc d'Orzival
Fredo M,1,Le Chamossaire
Fritz Hodel,1,Le Cochet
Fritz Leibundgut,1,Turne
Fritz Wäfler,1,Hohniesen
Gaby Müller,1,Gross Walenstock
Gaspard PETIOT,1,Brämabüel
Gaël Droz,1,Monte Madone
Gaël Frochaux,1,Ammertenspitz
Gebi Zürn,1,Pfiiffegg
Geoff Cattrall,1,Schiahorn
Georges de Lavallaz,1,Tour de Bonvin
Gerhard Wyser,1,Chemiflue
Gianfranco Conforti,1,Sasso Basciotta
Gil Carron,1,Pointe des Mossettes
Gilles Pillonel,1,Tschingellochtighorn
Gionata Graber,1,Pizzo Vogorno
Giovanni Spitale,1,Pfannenstöckli
Giuseppe Scotton,1,Poncione di Breno
Graziano Rigiani,1,Croce del Bosc
Guy-Adrien Dubosson,1,La Truche
György Réthy,1,Monte Magno
Gérald Maret,1,Hofathorn/Schene Bärg
H.Taggi Tagmann,1,Weisshorn
HJ Schm!d,1,Bire
Hans Nüesch,1,Schafköpfe
Hans Tanner,1,Kleiner Walenstock
Hanspeter Keller,1,Hörnli
Hansueli Lutz,1,Mattstock
Harm Voordenhout,1,Spitzli
Haydon Gray,1,Bryndli
Heinrich Lori,1,Tschudi
Heinz Müller,1,Matzlenstock
Helmut Wäger,1,Mutschen
Henri Montel,1,Pointe des Autans
Herman Schinkelshoek,1,Galmschibe
Hervé Cerutti,1,Dent de Nendaz
Hugo Minnig,1,Le Moléson
Häppy Michel,1,Mathildespitze
I Norton Slovak,1,Piz Run
Iris Bodenmann,1,Tällistock
Iwan Lussmann,1,Rossstock
Jakob Karpf,1,Baraghetto
Jakub Ludma,1,Fürhörnli
Jan Harbott,1,"Muntiscè, anticima SE"
Jana Sedlářová,1,Fanenstock
Jean Luc,1,Hugeligrat (1898 m)
Jean Regina,1,Pic Chaussy
Jean michel Halbert,1,Pointe Ronde
Jean-Christophe Pachoud,1,Pointe de Pré Fleuri
Jean-Louis Tschopp,1,Floriette
Jennifer Regez,1,Möntschelespitz
Jimmy Favre Rochex,1,Le Linleu
Joachim Pellissier,1,Grand Château
Joel Richard,1,Muttner Höhi
John Kay,1,La Palette
Jonas Gassmann,1,Niderbauen-Chulm
Jonas Hofer,1,Bolberg
Jonas Mabillard,1,Mont Carré
Jonas Schär,1,Abendberg
Jonathan Dunkel,1,Le Chantonnet
Jonathan Houmard,1,Pointe des Savolaires
Joost Visschedijk,1,Pointe de Fornet
Joris Lardon,1,Grenchenberg
Josef Büeler,1,Rotenflue
Josef Schuler,1,Rigi Rotstock
Joshua Streiff,1,Franzenhoren
Joël Debons,1,Mont Gelé
Julian Wenger,1,Hagleren
Julien Avanthay,1,La Berthe
Julien Giraudet,1,Les Merlas
Jürg Ryser,1,Poncione d'Arbione
Jürgen Niederer,1,Schneehüenerstock
Kai Blickle,1,Tierberg
Kaj Späth,1,Cyprianspitz
Kari Eisenhut,1,Hempliger
Karin Fischer,1,Gitziflue
Karl Furger,1,Crap la Pala
Kevin Bitterli,1,Piz Colm
Kevin Signer,1,Hundwiler Höhi
Kieran Morel,1,La Jorette
